    Z      	  a(m)    	   a'    	  b(m) 	   b'
5.09E-3	1.521887E-4	-4.931522E-2	5.627738E-4	7.554471E-2
5.14E-3	1.497231E-4	-4.930722E-2	5.665513E-4	7.55527E-2
5.19E-3	1.47258E-4	-4.929925E-2	5.703291E-4	7.556068E-2
5.24E-3	1.447932E-4	-4.929128E-2	5.741073E-4	7.556864E-2
5.29E-3	1.423288E-4	-4.928333E-2	5.77886E-4	7.557659E-2
5.34E-3	1.398649E-4	-4.92754E-2	5.81665E-4	7.558452E-2
5.39E-3	1.374013E-4	-4.926748E-2	5.854444E-4	7.559244E-2
5.44E-3	1.349381E-4	-4.925957E-2	5.892242E-4	7.560035E-2
5.49E-3	1.324753E-4	-4.925168E-2	5.930045E-4	7.560824E-2
5.54E-3	1.300129E-4	-4.92438E-2	5.967851E-4	7.561611E-2
5.59E-3	1.27551E-4	-4.923593E-2	6.005661E-4	7.562397E-2
5.64E-3	1.250893E-4	-4.922808E-2	6.043475E-4	7.563182E-2
5.69E-3	1.226281E-4	-4.922025E-2	6.081293E-4	7.563965E-2
5.74E-3	1.201673E-4	-4.921242E-2	6.119114E-4	7.564747E-2
5.79E-3	1.177069E-4	-4.920461E-2	6.15694E-4	7.565527E-2
5.84E-3	1.152469E-4	-4.919682E-2	6.19477E-4	7.566306E-2
5.89E-3	1.127872E-4	-4.918904E-2	6.232603E-4	7.567084E-2
5.94E-3	1.10328E-4	-4.918127E-2	6.27044E-4	7.56786E-2
5.99E-3	1.078691E-4	-4.917352E-2	6.308282E-4	7.568635E-2
6.04E-3	1.054106E-4	-4.916578E-2	6.346127E-4	7.569409E-2
6.09E-3	1.029525E-4	-4.915805E-2	6.383976E-4	7.570181E-2
6.14E-3	1.004948E-4	-4.915034E-2	6.421829E-4	7.570951E-2
6.19E-3	9.803748E-5	-4.914263E-2	6.459685E-4	7.571721E-2
6.24E-3	9.558054E-5	-4.913495E-2	6.497546E-4	7.572489E-2
6.29E-3	9.312398E-5	-4.912727E-2	6.53541E-4	7.573255E-2
6.34E-3	9.066781E-5	-4.911961E-2	6.573278E-4	7.57402E-2
6.39E-3	8.821202E-5	-4.911196E-2	6.61115E-4	7.574784E-2
6.44E-3	8.575661E-5	-4.910433E-2	6.649026E-4	7.575547E-2
6.49E-3	8.330159E-5	-4.90967E-2	6.686906E-4	7.576308E-2
6.54E-3	8.084694E-5	-4.908909E-2	6.724789E-4	7.577068E-2
6.59E-3	7.839268E-5	-4.908149E-2	6.762676E-4	7.577826E-2
6.64E-3	7.593879E-5	-4.907391E-2	6.800567E-4	7.578583E-2
6.69E-3	7.348529E-5	-4.906633E-2	6.838462E-4	7.579339E-2
6.74E-3	7.103216E-5	-4.905877E-2	6.876361E-4	7.580094E-2
6.79E-3	6.857941E-5	-4.905122E-2	6.914263E-4	7.580847E-2
6.84E-3	6.612704E-5	-4.904368E-2	6.952169E-4	7.581598E-2
6.89E-3	6.367504E-5	-4.903614E-2	6.990079E-4	7.582349E-2
6.94E-3	6.122342E-5	-4.902862E-2	7.027993E-4	7.583098E-2
6.99E-3	5.877218E-5	-4.902111E-2	7.06591E-4	7.583846E-2
7.04E-3	5.632131E-5	-4.901361E-2	7.103831E-4	7.584592E-2
7.09E-3	5.387082E-5	-4.900611E-2	7.141756E-4	7.585338E-2
7.14E-3	5.14207E-5	-4.899863E-2	7.179685E-4	7.586082E-2
7.19E-3	4.897096E-5	-4.899114E-2	7.217617E-4	7.586824E-2
7.24E-3	4.652159E-5	-4.898366E-2	7.255553E-4	7.587565E-2
7.29E-3	4.407259E-5	-4.897618E-2	7.293493E-4	7.588305E-2
7.34E-3	4.162397E-5	-4.896871E-2	7.331436E-4	7.589044E-2
7.39E-3	3.917572E-5	-4.896122E-2	7.369383E-4	7.589782E-2
7.44E-3	3.672785E-5	-4.895373E-2	7.407334E-4	7.590518E-2
7.49E-3	3.428035E-5	-4.894622E-2	7.445288E-4	7.591253E-2
7.54E-3	3.183323E-5	-4.893868E-2	7.483246E-4	7.591986E-2
7.59E-3	2.938648E-5	-4.893111E-2	7.521208E-4	7.592719E-2
