    Z      	  a(m)    	   a'    	  b(m) 	   b'
3.8285E-3	2.45617E-4	-4.223363E-3	2.569255E-4	5.505081E-3
3.8444E-3	2.455512E-4	-4.057964E-3	2.570118E-4	5.340237E-3
3.8603E-3	2.45488E-4	-3.892607E-3	2.570954E-4	5.175336E-3
3.8762E-3	2.454274E-4	-3.72729E-3	2.571763E-4	5.01038E-3
3.8921E-3	2.453695E-4	-3.562012E-3	2.572547E-4	4.845372E-3
3.908E-3	2.453141E-4	-3.396771E-3	2.573304E-4	4.680313E-3
3.9239E-3	2.452614E-4	-3.231566E-3	2.574035E-4	4.515204E-3
3.9398E-3	2.452114E-4	-3.066394E-3	2.57474E-4	4.350048E-3
3.9557E-3	2.451639E-4	-2.901254E-3	2.575419E-4	4.184846E-3
3.9716E-3	2.451191E-4	-2.736144E-3	2.576071E-4	4.0196E-3
3.9875E-3	2.450769E-4	-2.571063E-3	2.576697E-4	3.854311E-3
4.0034E-3	2.450374E-4	-2.406009E-3	2.577297E-4	3.688982E-3
4.0193E-3	2.450004E-4	-2.240979E-3	2.57787E-4	3.523613E-3
4.0352E-3	2.449661E-4	-2.075973E-3	2.578417E-4	3.358208E-3
4.0511E-3	2.449344E-4	-1.910989E-3	2.578938E-4	3.192767E-3
4.067E-3	2.449053E-4	-1.746025E-3	2.579432E-4	3.027292E-3
4.0829E-3	2.448789E-4	-1.581079E-3	2.5799E-4	2.861785E-3
4.0988E-3	2.44855E-4	-1.416149E-3	2.580342E-4	2.696249E-3
4.1147E-3	2.448338E-4	-1.251234E-3	2.580758E-4	2.530683E-3
4.1306E-3	2.448153E-4	-1.086333E-3	2.581147E-4	2.365091E-3
4.1465E-3	2.447993E-4	-9.214425E-4	2.58151E-4	2.199474E-3
4.1624E-3	2.44786E-4	-7.56562E-4	2.581847E-4	2.033833E-3
4.1783E-3	2.447752E-4	-5.916894E-4	2.582157E-4	1.868171E-3
4.1942E-3	2.447671E-4	-4.268231E-4	2.582441E-4	1.70249E-3
4.2101E-3	2.447617E-4	-2.619614E-4	2.582698E-4	1.53679E-3
4.226E-3	2.447588E-4	-9.710259E-5	2.582929E-4	1.371074E-3
4.2419E-3	2.447586E-4	6.775511E-5	2.583134E-4	1.205343E-3
4.2578E-3	2.44761E-4	2.326134E-4	2.583313E-4	1.039599E-3
4.2737E-3	2.44766E-4	3.974739E-4	2.583465E-4	8.738449E-4
