Current (A)= 1.0E-5
Energy (V)= 8000.0
Mass (u)= 40.0
Emittance (m-rad)= 9.45E-7

    Z      	  a (m)    	   a'    	  b (m) 	   b'
3.29E-3	1.162542E-4	-6.076562E-3	1.439276E-4	1.233211E-2
3.3E-3	1.161934E-4	-6.066478E-3	1.44051E-4	1.23395E-2
3.31E-3	1.161328E-4	-6.056387E-3	1.441744E-4	1.234687E-2
3.32E-3	1.160723E-4	-6.046288E-3	1.442979E-4	1.235424E-2
3.33E-3	1.160119E-4	-6.036181E-3	1.444215E-4	1.23616E-2
3.34E-3	1.159516E-4	-6.026065E-3	1.445451E-4	1.236896E-2
3.35E-3	1.158914E-4	-6.015943E-3	1.446689E-4	1.23763E-2
3.36E-3	1.158313E-4	-6.005812E-3	1.447927E-4	1.238363E-2
3.37E-3	1.157713E-4	-5.995673E-3	1.449165E-4	1.239096E-2
3.38E-3	1.157114E-4	-5.985527E-3	1.450405E-4	1.239828E-2
3.39E-3	1.156516E-4	-5.975372E-3	1.451645E-4	1.240559E-2
3.4E-3	1.155919E-4	-5.96521E-3	1.452886E-4	1.241289E-2
3.41E-3	1.155323E-4	-5.95504E-3	1.454128E-4	1.242018E-2
3.42E-3	1.154728E-4	-5.944862E-3	1.45537E-4	1.242746E-2
3.43E-3	1.154134E-4	-5.934676E-3	1.456613E-4	1.243474E-2
3.44E-3	1.153541E-4	-5.924483E-3	1.457857E-4	1.2442E-2
3.45E-3	1.152949E-4	-5.914281E-3	1.459101E-4	1.244926E-2
3.46E-3	1.152358E-4	-5.904072E-3	1.460347E-4	1.245651E-2
3.47E-3	1.151768E-4	-5.893854E-3	1.461593E-4	1.246375E-2
3.48E-3	1.151179E-4	-5.883629E-3	1.462839E-4	1.247098E-2
3.49E-3	1.150591E-4	-5.873396E-3	1.464087E-4	1.247821E-2
3.5E-3	1.150004E-4	-5.863155E-3	1.465335E-4	1.248542E-2
3.51E-3	1.149418E-4	-5.852907E-3	1.466584E-4	1.249263E-2
3.52E-3	1.148834E-4	-5.84265E-3	1.467834E-4	1.249983E-2
3.53E-3	1.14825E-4	-5.832385E-3	1.469084E-4	1.250702E-2
3.54E-3	1.147667E-4	-5.822113E-3	1.470335E-4	1.25142E-2
3.55E-3	1.147086E-4	-5.811833E-3	1.471587E-4	1.252137E-2
