    Z      	  a(m)    	   a'    	  b(m) 	   b'
3.166E-3	2.980888E-4	-1.240265E-2	3.604551E-4	3.16857E-2
3.175E-3	2.979772E-4	-1.240195E-2	3.607403E-4	3.16861E-2
3.184E-3	2.978656E-4	-1.240125E-2	3.610255E-4	3.16865E-2
3.193E-3	2.97754E-4	-1.240055E-2	3.613107E-4	3.16869E-2
3.202E-3	2.976424E-4	-1.239985E-2	3.615959E-4	3.16873E-2
3.211E-3	2.975308E-4	-1.239914E-2	3.61881E-4	3.16877E-2
3.22E-3	2.974192E-4	-1.239844E-2	3.621662E-4	3.168809E-2
3.229E-3	2.973076E-4	-1.239774E-2	3.624514E-4	3.168849E-2
3.238E-3	2.971961E-4	-1.239703E-2	3.627366E-4	3.168888E-2
3.247E-3	2.970845E-4	-1.239633E-2	3.630218E-4	3.168928E-2
3.256E-3	2.969729E-4	-1.239562E-2	3.63307E-4	3.168967E-2
3.265E-3	2.968614E-4	-1.239491E-2	3.635922E-4	3.169006E-2
3.274E-3	2.967498E-4	-1.23942E-2	3.638775E-4	3.169045E-2
3.283E-3	2.966383E-4	-1.23935E-2	3.641627E-4	3.169084E-2
3.292E-3	2.965267E-4	-1.239279E-2	3.644479E-4	3.169123E-2
3.301E-3	2.964152E-4	-1.239207E-2	3.647331E-4	3.169162E-2
3.31E-3	2.963037E-4	-1.239136E-2	3.650183E-4	3.169201E-2
3.319E-3	2.961921E-4	-1.239065E-2	3.653036E-4	3.169239E-2
3.328E-3	2.960806E-4	-1.238994E-2	3.655888E-4	3.169278E-2
3.337E-3	2.959691E-4	-1.238923E-2	3.65874E-4	3.169316E-2
3.346E-3	2.958576E-4	-1.238851E-2	3.661593E-4	3.169355E-2
3.355E-3	2.957461E-4	-1.23878E-2	3.664445E-4	3.169393E-2
3.364E-3	2.956346E-4	-1.238708E-2	3.667298E-4	3.169431E-2
3.373E-3	2.955232E-4	-1.238636E-2	3.67015E-4	3.16947E-2
3.382E-3	2.954117E-4	-1.238565E-2	3.673003E-4	3.169508E-2
3.391E-3	2.953002E-4	-1.238493E-2	3.675855E-4	3.169546E-2
3.4E-3	2.951888E-4	-1.238421E-2	3.678708E-4	3.169584E-2
3.409E-3	2.950773E-4	-1.238349E-2	3.681561E-4	3.169621E-2
3.418E-3	2.949659E-4	-1.238277E-2	3.684413E-4	3.169659E-2
3.427E-3	2.948544E-4	-1.238205E-2	3.687266E-4	3.169697E-2
3.436E-3	2.94743E-4	-1.238132E-2	3.690119E-4	3.169734E-2
3.445E-3	2.946316E-4	-1.23806E-2	3.692971E-4	3.169772E-2
3.454E-3	2.945201E-4	-1.237988E-2	3.695824E-4	3.169809E-2
3.463E-3	2.944087E-4	-1.237915E-2	3.698677E-4	3.169846E-2
3.472E-3	2.942973E-4	-1.237843E-2	3.70153E-4	3.169884E-2
3.481E-3	2.941859E-4	-1.23777E-2	3.704383E-4	3.169921E-2
3.49E-3	2.940745E-4	-1.237697E-2	3.707236E-4	3.169958E-2
3.5069E-3	2.938697E-4	-1.186237E-2	3.712538E-4	3.105257E-2
3.5238E-3	2.936736E-4	-1.134811E-2	3.717732E-4	3.040465E-2
3.5407E-3	2.934861E-4	-1.083419E-2	3.722815E-4	2.975582E-2
3.5576E-3	2.933074E-4	-1.032059E-2	3.727789E-4	2.910612E-2
3.5745E-3	2.931373E-4	-9.807282E-3	3.732653E-4	2.845555E-2
3.5914E-3	2.929759E-4	-9.294265E-3	3.737407E-4	2.780414E-2
3.6083E-3	2.928231E-4	-8.78152E-3	3.742051E-4	2.715191E-2
3.6252E-3	2.926791E-4	-8.269032E-3	3.746584E-4	2.649888E-2
3.6421E-3	2.925436E-4	-7.756786E-3	3.751007E-4	2.584506E-2
3.659E-3	2.924169E-4	-7.244768E-3	3.75532E-4	2.519048E-2
3.6759E-3	2.922988E-4	-6.732961E-3	3.759522E-4	2.453515E-2
3.6928E-3	2.921893E-4	-6.221351E-3	3.763613E-4	2.387909E-2
3.7097E-3	2.920885E-4	-5.709924E-3	3.767593E-4	2.322233E-2
3.7266E-3	2.919963E-4	-5.198664E-3	3.771462E-4	2.256488E-2
3.7435E-3	2.919128E-4	-4.687555E-3	3.77522E-4	2.190676E-2
3.7604E-3	2.918379E-4	-4.176584E-3	3.778866E-4	2.1248E-2
3.7773E-3	2.917716E-4	-3.665736E-3	3.782401E-4	2.05886E-2
3.7942E-3	2.91714E-4	-3.154994E-3	3.785825E-4	1.99286E-2
3.8111E-3	2.91665E-4	-2.644345E-3	3.789137E-4	1.926801E-2
3.828E-3	2.916246E-4	-2.133773E-3	3.792338E-4	1.860685E-2
3.8449E-3	2.915928E-4	-1.623264E-3	3.795426E-4	1.794513E-2
3.8618E-3	2.915697E-4	-1.112803E-3	3.798403E-4	1.728289E-2
3.8787E-3	2.915552E-4	-6.023734E-4	3.801268E-4	1.662013E-2
3.8956E-3	2.915494E-4	-9.196191E-5	3.804021E-4	1.595689E-2
3.9125E-3	2.915521E-4	4.184469E-4	3.806661E-4	1.529317E-2
3.9294E-3	2.915635E-4	9.288679E-4	3.80919E-4	1.462899E-2
3.9463E-3	2.915835E-4	1.439316E-3	3.811606E-4	1.396439E-2
3.9632E-3	2.916122E-4	1.949806E-3	3.81391E-4	1.329937E-2
3.9801E-3	2.916494E-4	2.460354E-3	3.816101E-4	1.263396E-2
3.997E-3	2.916953E-4	2.970973E-3	3.81818E-4	1.196817E-2
4.0139E-3	2.917498E-4	3.481679E-3	3.820146E-4	1.130203E-2
4.0308E-3	2.91813E-4	3.992488E-3	3.822E-4	1.063556E-2
4.0477E-3	2.918848E-4	4.503413E-3	3.823741E-4	9.968771E-3
4.0646E-3	2.919652E-4	5.014469E-3	3.825369E-4	9.301688E-3
4.0815E-3	2.920543E-4	5.525673E-3	3.826885E-4	8.634329E-3
4.0984E-3	2.92152E-4	6.037038E-3	3.828288E-4	7.966715E-3
4.1153E-3	2.922583E-4	6.54858E-3	3.829578E-4	7.298865E-3
4.1322E-3	2.923733E-4	7.060314E-3	3.830755E-4	6.630799E-3
4.1491E-3	2.92497E-4	7.572254E-3	3.831819E-4	5.962537E-3
4.166E-3	2.926293E-4	8.084416E-3	3.83277E-4	5.294099E-3
4.1829E-3	2.927702E-4	8.596815E-3	3.833608E-4	4.625503E-3
4.1998E-3	2.929198E-4	9.109465E-3	3.834334E-4	3.956771E-3
4.2167E-3	2.930781E-4	9.622382E-3	3.834946E-4	3.287922E-3
4.2336E-3	2.932451E-4	1.013558E-2	3.835445E-4	2.618976E-3
4.2505E-3	2.934207E-4	1.064908E-2	3.835831E-4	1.949952E-3
4.2674E-3	2.93605E-4	1.116288E-2	3.836104E-4	1.280871E-3
4.2843E-3	2.93798E-4	1.167702E-2	3.836264E-4	6.117514E-4
